,Date,Open,High,Low,Close,Adj Close,Volume
3115,2017-01-03,800.619995,811.440002,796.890015,808.01001,808.01001,1959000
3116,2017-01-04,809.890015,813.429993,804.109985,807.77002,807.77002,1515300
3117,2017-01-05,807.5,813.73999,805.919983,813.02002,813.02002,1340500
3118,2017-01-06,814.98999,828.960022,811.5,825.210022,825.210022,2017100
3119,2017-01-09,826.369995,830.429993,821.619995,827.179993,827.179993,1408900
3120,2017-01-10,827.070007,829.409973,823.140015,826.01001,826.01001,1197400
3121,2017-01-11,826.619995,829.900024,821.469971,829.859985,829.859985,1325400
3122,2017-01-12,828.380005,830.380005,821.01001,829.530029,829.530029,1349500
3123,2017-01-13,831.0,834.650024,829.52002,830.940002,830.940002,1290200
3124,2017-01-17,830.0,830.179993,823.200012,827.460022,827.460022,1440900
3125,2017-01-18,829.799988,829.809998,824.080017,829.02002,829.02002,1027700
3126,2017-01-19,829.0,833.0,823.960022,824.369995,824.369995,1070500
3127,2017-01-20,829.090027,829.23999,824.599976,828.169983,828.169983,1306200
3128,2017-01-23,831.609985,845.539978,828.700012,844.429993,844.429993,2457400
3129,2017-01-24,846.97998,851.52002,842.280029,849.530029,849.530029,1688400
3130,2017-01-25,853.549988,858.789978,849.73999,858.450012,858.450012,1655400
3131,2017-01-26,859.049988,861.0,850.52002,856.97998,856.97998,3493300
3132,2017-01-27,859.0,867.0,841.900024,845.030029,845.030029,3752500
3133,2017-01-30,837.059998,837.22998,821.030029,823.830017,823.830017,3516900
3134,2017-01-31,819.5,823.070007,813.400024,820.190002,820.190002,2020200
3135,2017-02-01,824.0,824.0,812.25,815.23999,815.23999,2251000
3136,2017-02-02,815.0,824.559998,812.049988,818.26001,818.26001,1689200
3137,2017-02-03,823.130005,826.130005,819.349976,820.130005,820.130005,1528100
3138,2017-02-06,820.919983,822.390015,814.289978,821.619995,821.619995,1350900
3139,2017-02-07,825.5,831.919983,823.289978,829.22998,829.22998,1666600
3140,2017-02-08,830.530029,834.25,825.109985,829.880005,829.880005,1302200
3141,2017-02-09,831.72998,831.97998,826.5,830.059998,830.059998,1194200
3142,2017-02-10,832.950012,837.150024,830.51001,834.849976,834.849976,1415100
3143,2017-02-13,837.700012,841.73999,836.25,838.960022,838.960022,1295700
3144,2017-02-14,839.77002,842.0,835.830017,840.030029,840.030029,1363300
3145,2017-02-15,838.809998,841.77002,836.219971,837.320007,837.320007,1357200
3146,2017-02-16,838.5,842.690002,837.26001,842.169983,842.169983,1005100
3147,2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
3148,2017-02-21,847.98999,852.200012,846.549988,849.27002,849.27002,1260300
3149,2017-02-22,848.0,853.789978,846.710022,851.359985,851.359985,1224400
3150,2017-02-23,851.080017,852.619995,842.5,851.0,851.0,1386700
3151,2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
