,Date,Open,High,Low,Close,Adj Close,Volume
1640,2017-01-03,42.972,44.066002,42.192001,43.397999,43.397999,29616500
1641,2017-01-04,42.950001,45.599998,42.862,45.397999,45.397999,56067500
1642,2017-01-05,45.284,45.495998,44.389999,45.349998,45.349998,29558500
1643,2017-01-06,45.386002,46.062,45.09,45.801998,45.801998,27639500
1644,2017-01-09,45.793999,46.383999,45.599998,46.256001,46.256001,19897500
1645,2017-01-10,46.400002,46.400002,45.377998,45.973999,45.973999,18300000
1646,2017-01-11,45.813999,45.995998,45.335999,45.945999,45.945999,18254000
1647,2017-01-12,45.812,46.139999,45.116001,45.917999,45.917999,18951000
1648,2017-01-13,46.0,47.57,45.917999,47.549999,47.549999,30465000
1649,2017-01-17,47.34,47.992001,46.874001,47.116001,47.116001,23087500
1650,2017-01-18,47.330002,47.942001,47.116001,47.672001,47.672001,18845000
1651,2017-01-19,49.450001,49.736,48.150002,48.751999,48.751999,38661500
1652,2017-01-20,49.091999,49.200001,48.602001,48.945999,48.945999,21021500
1653,2017-01-23,49.169998,50.178001,49.099998,49.784,49.784,31314500
1654,2017-01-24,50.0,50.959999,49.93,50.922001,50.922001,24827500
1655,2017-01-25,51.462002,51.692001,50.360001,50.894001,50.894001,25713000
1656,2017-01-26,50.858002,51.147999,50.150002,50.501999,50.501999,15760500
1657,2017-01-27,50.276001,50.599998,49.703999,50.59,50.59,15831500
1658,2017-01-30,50.506001,51.057999,49.419998,50.125999,50.125999,19005500
1659,2017-01-31,49.848,51.178001,49.540001,50.386002,50.386002,20580500
1660,2017-02-01,50.610001,50.639999,49.810001,49.848,49.848,19794000
1661,2017-02-02,49.667999,50.484001,49.542,50.310001,50.310001,12499000
1662,2017-02-03,50.382,50.436001,49.936001,50.265999,50.265999,10933500
1663,2017-02-06,50.200001,51.563999,50.125999,51.554001,51.554001,17812500
1664,2017-02-07,51.638,52.0,51.284,51.495998,51.495998,21224000
1665,2017-02-08,51.470001,52.672001,51.240002,52.416,52.416,19665000
1666,2017-02-09,53.25,54.236,53.23,53.84,53.84,39101000
1667,2017-02-10,53.958,54.189999,53.222,53.846001,53.846001,18098500
1668,2017-02-13,54.147999,56.158001,54.102001,56.119999,56.119999,35148000
1669,2017-02-14,55.806,57.478001,55.722,56.195999,56.195999,36726000
1670,2017-02-15,56.0,56.448002,55.287998,55.952,55.952,24739500
1671,2017-02-16,55.52,56.0,53.700001,53.790001,53.790001,35386500
1672,2017-02-17,53.16,54.577999,52.830002,54.445999,54.445999,31285500
1673,2017-02-21,55.09,56.279999,54.801998,55.478001,55.478001,28383500
1674,2017-02-22,56.062,56.689999,54.52,54.702,54.702,43775000
1675,2017-02-23,52.799999,52.931999,51.112,51.198002,51.198002,74576000
1676,2017-02-24,50.532001,51.650002,50.040001,51.400002,51.400002,40858000
1677,2017-02-27,49.633999,49.672001,48.402,49.245998,49.245998,57304000
1678,2017-02-28,48.838001,50.200001,48.779999,49.998001,49.998001,30390500
1679,2017-03-01,50.835999,50.970001,49.821999,50.004002,50.004002,24047500
1680,2017-03-02,49.942001,50.655998,49.653999,50.096001,50.096001,16759000
1681,2017-03-03,50.147999,50.380001,49.799999,50.313999,50.313999,14597000
