,Date,Open,High,Low,Close,Adj Close,Volume
338,2017-01-03,28.950001,29.0825,28.690001,29.0375,27.219833,115127600
339,2017-01-04,28.9625,29.127501,28.9375,29.004999,27.189369,84472400
340,2017-01-05,28.98,29.215,28.952499,29.1525,27.327635,88774400
341,2017-01-06,29.195,29.540001,29.1175,29.477501,27.632288,127007600
342,2017-01-09,29.487499,29.8575,29.485001,29.747499,27.885387,134247600
343,2017-01-10,29.692499,29.844999,29.575001,29.7775,27.913511,97848400
344,2017-01-11,29.684999,29.9825,29.65,29.9375,28.063496,110354400
345,2017-01-12,29.725,29.825001,29.5525,29.8125,27.946316,108344800
346,2017-01-13,29.7775,29.905001,29.702499,29.76,27.897104,104447600
347,2017-01-17,29.584999,30.059999,29.555,30.0,28.122086,137759200
348,2017-01-18,30.0,30.125,29.9275,29.997499,28.119741,94852000
349,2017-01-19,29.85,30.022499,29.842501,29.945,28.07053,102389200
350,2017-01-20,30.112499,30.112499,29.932501,30.0,28.122086,130391600
351,2017-01-23,30.0,30.202499,29.942499,30.02,28.140833,88200800
352,2017-01-24,29.887501,30.025,29.875,29.9925,28.115057,92844000
353,2017-01-25,30.105,30.525,30.07,30.469999,28.562662,129510400
354,2017-01-26,30.4175,30.610001,30.4,30.485001,28.576723,105350400
355,2017-01-27,30.535,30.5875,30.4,30.487499,28.579069,82251600
356,2017-01-30,30.2325,30.407499,30.165001,30.407499,28.504076,121510000
357,2017-01-31,30.2875,30.3475,30.155001,30.3375,28.438457,196804000
358,2017-02-01,31.7575,32.622501,31.752501,32.1875,30.172649,447940000
359,2017-02-02,31.995001,32.3475,31.945,32.1325,30.121098,134841600
360,2017-02-03,32.077499,32.297501,32.040001,32.27,30.249989,98029200
361,2017-02-06,32.282501,32.625,32.224998,32.572498,30.533546,107383600
362,2017-02-07,32.634998,33.022499,32.612499,32.8825,30.824152,152735200
363,2017-02-08,32.837502,33.055,32.805,33.009998,30.943666,92016400
364,2017-02-09,32.912498,33.112499,32.779999,33.105,31.167267,113399600
365,2017-02-10,33.115002,33.235001,33.012501,33.029999,31.096655,80262000
366,2017-02-13,33.27,33.455002,33.1875,33.322498,31.372034,92141600
