,Date,Open,High,Low,Close,Adj Close,Volume
5043,2017-05-31,1000.0,1000.119995,982.159973,994.619995,994.619995,3913100
5044,2017-06-01,998.590027,998.98999,991.369995,995.950012,995.950012,2454800
5045,2017-06-02,998.98999,1008.47998,995.669983,1006.72998,1006.72998,3752300
5046,2017-06-05,1007.22998,1013.210022,1003.51001,1011.340027,1011.340027,2719900
5047,2017-06-06,1012.0,1016.5,1001.25,1003.0,1003.0,3346400
5048,2017-06-07,1005.950012,1010.25,1002.0,1010.070007,1010.070007,2823000
5049,2017-06-08,1012.059998,1013.609985,1006.109985,1010.27002,1010.27002,2767900
5050,2017-06-09,1012.5,1012.98999,927.0,978.309998,978.309998,7647700
5051,2017-06-12,967.0,975.950012,945.0,964.909973,964.909973,9447200
5052,2017-06-13,977.98999,984.5,966.099976,980.789978,980.789978,4580000
5053,2017-06-14,988.590027,990.340027,966.710022,976.469971,976.469971,3974900
5054,2017-06-15,958.700012,965.72998,950.859985,964.169983,964.169983,5373900
5055,2017-06-16,996.0,999.75,982.0,987.710022,987.710022,11472700
5056,2017-06-19,1017.0,1017.0,989.900024,995.169983,995.169983,5043400
5057,2017-06-20,998.0,1004.880005,992.02002,992.590027,992.590027,4076800
5058,2017-06-21,998.700012,1002.719971,992.650024,1002.22998,1002.22998,2922500
5059,2017-06-22,1002.22998,1006.960022,997.200012,1001.299988,1001.299988,2253400
5060,2017-06-23,1002.539978,1004.619995,998.02002,1003.73999,1003.73999,2879100
5061,2017-06-26,1008.5,1009.799988,992.0,993.97998,993.97998,3386200
5062,2017-06-27,990.690002,998.799988,976.0,976.780029,976.780029,3782400
5063,2017-06-28,978.549988,990.679993,969.210022,990.330017,990.330017,3737600
5064,2017-06-29,979.0,987.559998,965.25,975.929993,975.929993,4303000
5065,2017-06-30,980.119995,983.469971,967.609985,968.0,968.0,3390300
5066,2017-07-03,972.789978,974.48999,951.0,953.659973,953.659973,2909100
5067,2017-07-05,961.530029,975.0,955.25,971.400024,971.400024,3653000
5068,2017-07-06,964.659973,974.400024,959.02002,965.140015,965.140015,3259600
5069,2017-07-07,969.549988,980.109985,969.140015,978.76001,978.76001,2643400
5070,2017-07-10,985.0,999.440002,983.5,996.469971,996.469971,3546300
5071,2017-07-11,993.0,995.98999,983.719971,994.130005,994.130005,2982700
5072,2017-07-12,1000.650024,1008.549988,998.099976,1006.51001,1006.51001,3608600
5073,2017-07-13,1004.619995,1006.880005,995.900024,1000.630005,1000.630005,2880800
5074,2017-07-14,1002.400024,1004.450012,996.890015,1001.809998,1001.809998,2102500
5075,2017-07-17,1004.690002,1014.75,1003.809998,1010.039978,1010.039978,3712600
5076,2017-07-18,1006.0,1026.030029,1004.0,1024.449951,1024.449951,4007600
5077,2017-07-19,1025.0,1031.589966,1022.5,1026.869995,1026.869995,2964000
5078,2017-07-20,1031.589966,1034.969971,1022.52002,1028.699951,1028.699951,3097500
5079,2017-07-21,1021.280029,1026.099976,1011.0,1025.670044,1025.670044,2734600
5080,2017-07-24,1028.339966,1043.01001,1027.430054,1038.949951,1038.949951,3288000
5081,2017-07-25,1038.050049,1043.329956,1032.47998,1039.869995,1039.869995,2447600
5082,2017-07-26,1043.199951,1053.199951,1043.199951,1052.800049,1052.800049,2921300
5083,2017-07-27,1069.550049,1083.310059,1040.180054,1046.0,1046.0,10991700
5084,2017-07-28,1012.140015,1032.849976,1001.0,1020.039978,1020.039978,7709400
5085,2017-07-31,1019.049988,1019.049988,987.02002,987.780029,987.780029,7352100
5086,2017-08-01,996.109985,1006.400024,991.580017,996.190002,996.190002,4572600
5087,2017-08-02,1001.77002,1003.210022,981.72998,995.890015,995.890015,4070000
5088,2017-08-03,999.469971,999.5,984.590027,986.919983,986.919983,3255800
5089,2017-08-04,989.679993,991.669983,982.0,987.580017,987.580017,2730300
5090,2017-08-07,990.650024,995.0,987.140015,992.27002,992.27002,2676600
5091,2017-08-08,994.349976,996.280029,985.789978,989.840027,989.840027,2902800
5092,2017-08-09,982.599976,988.0,975.27002,982.01001,982.01001,3569700
5093,2017-08-10,976.299988,979.859985,954.679993,956.919983,956.919983,5684100
5094,2017-08-11,960.0,970.390015,951.380005,967.98999,967.98999,3468000
5095,2017-08-14,978.409973,985.5,976.190002,983.299988,983.299988,3172900
5096,2017-08-15,988.900024,991.73999,982.0,982.73999,982.73999,2549300
5097,2017-08-16,981.650024,986.460022,973.219971,978.179993,978.179993,3132100
5098,2017-08-17,977.840027,977.840027,960.320007,960.570007,960.570007,3512400
5099,2017-08-18,961.400024,965.429993,954.650024,958.469971,958.469971,3284800
5100,2017-08-21,957.570007,961.200012,945.460022,953.289978,953.289978,3164500
5101,2017-08-22,955.52002,967.929993,955.5,966.900024,966.900024,2750000
5102,2017-08-23,959.380005,962.0,954.200012,958.0,958.0,2668300
5103,2017-08-24,957.419983,959.0,941.140015,952.450012,952.450012,5195700
5104,2017-08-25,956.0,957.619995,944.099976,945.26001,945.26001,3324800
5105,2017-08-28,946.539978,953.0,942.25,946.02002,946.02002,2596700
5106,2017-08-29,940.0,956.0,936.330017,954.059998,954.059998,2874300
5107,2017-08-30,958.440002,969.409973,956.909973,967.590027,967.590027,2904600
5108,2017-08-31,974.700012,981.0,972.76001,980.599976,980.599976,3331500
5109,2017-09-01,984.200012,984.5,976.880005,978.25,978.25,2535900
5110,2017-09-05,975.400024,976.77002,960.369995,965.27002,965.27002,2883200
5111,2017-09-06,968.320007,971.840027,960.599976,967.799988,967.799988,2129900
5112,2017-09-07,974.0,980.590027,972.549988,979.469971,979.469971,2566800
5113,2017-09-08,979.099976,979.880005,963.469971,965.900024,965.900024,2605300
5114,2017-09-11,974.460022,981.940002,974.219971,977.960022,977.960022,2186700
5115,2017-09-12,983.27002,984.669983,975.52002,982.580017,982.580017,2481100
5116,2017-09-13,983.969971,1000.0,979.419983,999.599976,999.599976,3374700
5117,2017-09-14,996.799988,998.559998,987.73999,992.210022,992.210022,3913300
5118,2017-09-15,993.01001,996.25,984.030029,986.789978,986.789978,3760200
5119,2017-09-18,990.400024,992.789978,968.169983,974.190002,974.190002,3411300
5120,2017-09-19,977.25,978.23999,967.460022,969.859985,969.859985,2671100
5121,2017-09-20,971.789978,974.809998,962.159973,973.210022,973.210022,2888800
5122,2017-09-21,971.309998,971.700012,962.02002,964.650024,964.650024,2337600
5123,2017-09-22,961.01001,965.609985,954.419983,955.099976,955.099976,2641800
5124,2017-09-25,949.309998,949.419983,932.890015,939.789978,939.789978,5124000
5125,2017-09-26,945.48999,948.630005,931.75,938.599976,938.599976,3564800
5126,2017-09-27,948.0,955.299988,943.299988,950.869995,950.869995,3148900
5127,2017-09-28,951.859985,959.700012,950.099976,956.400024,956.400024,2522600
5128,2017-09-29,960.109985,964.830017,958.380005,961.349976,961.349976,2543800
5129,2017-10-02,964.0,967.309998,952.119995,959.190002,959.190002,2442900
5130,2017-10-03,958.0,963.690002,950.369995,957.099976,957.099976,2666600
5131,2017-10-04,954.210022,967.789978,954.049988,965.450012,965.450012,2527400
5132,2017-10-05,970.0,981.51001,969.640015,980.849976,980.849976,3229200
5133,2017-10-06,975.640015,995.75,975.640015,989.580017,989.580017,3782100
5134,2017-10-09,993.23999,998.5,987.5,990.98999,990.98999,2938600
5135,2017-10-10,996.669983,997.950012,980.099976,987.200012,987.200012,3084900
5136,2017-10-11,991.27002,995.5,986.700012,995.0,995.0,2337100
5137,2017-10-12,996.809998,1008.440002,992.400024,1000.929993,1000.929993,4067300
5138,2017-10-13,1007.0,1007.77002,1001.030029,1002.940002,1002.940002,2431500
5139,2017-10-16,1008.440002,1009.570007,1001.039978,1006.340027,1006.340027,2008900
5140,2017-10-17,1005.590027,1011.469971,1004.380005,1009.130005,1009.130005,2319700
5141,2017-10-18,1009.27002,1022.309998,996.549988,997.0,997.0,2499700
5142,2017-10-19,990.0,991.049988,980.23999,986.609985,986.609985,3108200
5143,2017-10-20,993.530029,994.619995,982.0,982.909973,982.909973,2365100
5144,2017-10-23,986.72998,986.780029,962.5,966.299988,966.299988,3494100
5145,2017-10-24,969.0,979.849976,965.0,975.900024,975.900024,2723900
5146,2017-10-25,978.0,984.440002,966.23999,972.909973,972.909973,3033100
5147,2017-10-26,980.330017,982.900024,968.549988,972.429993,972.429993,5618700
5148,2017-10-27,1058.140015,1105.579956,1050.550049,1100.949951,1100.949951,16565000
5149,2017-10-30,1095.01001,1122.790039,1093.560059,1110.849976,1110.849976,6613100
5150,2017-10-31,1109.0,1110.540039,1101.119995,1105.280029,1105.280029,3477000
5151,2017-11-01,1105.400024,1108.969971,1096.73999,1103.680054,1103.680054,3755500
5152,2017-11-02,1097.810059,1101.939941,1086.869995,1094.219971,1094.219971,3684900
5153,2017-11-03,1091.150024,1112.680054,1088.52002,1111.599976,1111.599976,3751500
5154,2017-11-06,1109.150024,1125.410034,1108.77002,1120.660034,1120.660034,3381100
5155,2017-11-07,1124.73999,1130.599976,1117.5,1123.170044,1123.170044,2689000
5156,2017-11-08,1122.819946,1135.540039,1119.109985,1132.880005,1132.880005,2581500
5157,2017-11-09,1125.959961,1129.619995,1115.77002,1129.130005,1129.130005,3732700
5158,2017-11-10,1126.099976,1131.75,1124.060059,1125.349976,1125.349976,2179900
5159,2017-11-13,1123.0,1139.900024,1122.339966,1129.170044,1129.170044,2918400
5160,2017-11-14,1130.109985,1138.0,1123.890015,1136.839966,1136.839966,3138400
5161,2017-11-15,1127.01001,1131.75,1121.630005,1126.689941,1126.689941,3928700
5162,2017-11-16,1130.160034,1138.160034,1130.050049,1137.290039,1137.290039,2213300
5163,2017-11-17,1138.280029,1138.800049,1125.810059,1129.880005,1129.880005,2413400
5164,2017-11-20,1129.77002,1133.420044,1122.550049,1126.310059,1126.310059,2163900
5165,2017-11-21,1132.859985,1140.0,1128.199951,1139.48999,1139.48999,2479400
5166,2017-11-22,1141.0,1160.27002,1141.0,1156.160034,1156.160034,3555300
5167,2017-11-24,1160.699951,1186.839966,1160.699951,1186.0,1186.0,3528000
5168,2017-11-27,1202.660034,1213.410034,1191.150024,1195.829956,1195.829956,6744000
5169,2017-11-28,1204.880005,1205.339966,1188.52002,1193.599976,1193.599976,4559400
5170,2017-11-29,1194.800049,1194.800049,1145.189941,1161.27002,1161.27002,9257500
5171,2017-11-30,1167.099976,1178.569946,1160.0,1176.75,1176.75,4509200
5172,2017-12-01,1172.050049,1179.650024,1152.0,1162.349976,1162.349976,4107100
5173,2017-12-04,1173.849976,1175.199951,1128.0,1133.949951,1133.949951,5931900
5174,2017-12-05,1128.26001,1159.27002,1124.73999,1141.569946,1141.569946,4079800
5175,2017-12-06,1137.98999,1155.890015,1136.079956,1152.349976,1152.349976,2853300
5176,2017-12-07,1156.589966,1163.189941,1151.0,1159.790039,1159.790039,2511600
5177,2017-12-08,1170.400024,1172.790039,1157.099976,1162.0,1162.0,3050100
5178,2017-12-11,1164.599976,1169.900024,1157.0,1168.920044,1168.920044,2363500
5179,2017-12-12,1166.51001,1173.599976,1161.609985,1165.079956,1165.079956,2235900
5180,2017-12-13,1170.0,1170.869995,1160.27002,1164.130005,1164.130005,2616800
5181,2017-12-14,1163.709961,1177.930054,1162.449951,1174.26001,1174.26001,3214300
5182,2017-12-15,1179.030029,1182.75,1169.329956,1179.140015,1179.140015,4778600
5183,2017-12-18,1187.369995,1194.780029,1180.910034,1190.579956,1190.579956,2947600
5184,2017-12-19,1189.150024,1192.969971,1179.140015,1187.380005,1187.380005,2587800
5185,2017-12-20,1190.5,1191.0,1176.0,1177.619995,1177.619995,2371200
5186,2017-12-21,1175.900024,1179.170044,1167.640015,1174.76001,1174.76001,2123100
5187,2017-12-22,1172.079956,1174.619995,1167.829956,1168.359985,1168.359985,1585100
5188,2017-12-26,1168.359985,1178.319946,1160.550049,1176.76001,1176.76001,2005200
5189,2017-12-27,1179.910034,1187.290039,1175.609985,1182.26001,1182.26001,1867200
5190,2017-12-28,1189.0,1190.099976,1184.380005,1186.099976,1186.099976,1841700
5191,2017-12-29,1182.349976,1184.0,1167.5,1169.469971,1169.469971,2688400
5192,2018-01-02,1172.0,1190.0,1170.51001,1189.01001,1189.01001,2694500
5193,2018-01-03,1188.300049,1205.48999,1188.300049,1204.199951,1204.199951,3108800
5194,2018-01-04,1205.0,1215.869995,1204.660034,1209.589966,1209.589966,3022100
5195,2018-01-05,1217.51001,1229.140015,1210.0,1229.140015,1229.140015,3544700
5196,2018-01-08,1236.0,1253.079956,1232.030029,1246.869995,1246.869995,4279500
5197,2018-01-09,1256.900024,1259.329956,1241.76001,1252.699951,1252.699951,3661300
5198,2018-01-10,1245.150024,1254.329956,1237.22998,1254.329956,1254.329956,2686000
5199,2018-01-11,1259.73999,1276.77002,1256.459961,1276.680054,1276.680054,3125000
5200,2018-01-12,1273.390015,1305.76001,1273.390015,1305.199951,1305.199951,5443700
5201,2018-01-16,1323.0,1339.939941,1292.300049,1304.859985,1304.859985,7220700
5202,2018-01-17,1312.23999,1314.0,1280.880005,1295.0,1295.0,5253800
5203,2018-01-18,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946,4026900
5204,2018-01-19,1312.0,1313.0,1292.98999,1294.579956,1294.579956,4578500
